
309055.000000 903 2 0.50000000 200.000000 199.500000
644635.000000 1577 3 0.66666667 199.666667 199.666667
822607.000000 1736 4 0.93541435 199.750000 199.250000
1478442.000000 4083 5 1.13137085 199.600000 199.600000
1721146.000000 4766 6 1.30170828 199.833333 199.333333
1834663.000000 5156 7 1.34011879 199.857143 199.571429
2205524.000000 5878 8 1.47372827 199.625000 199.750000
2916169.000000 8723 9 1.45720856 199.777778 199.777778
3016379.000000 9312 10 1.53622915 200.000000 199.800000
3591162.000000 11697 11 1.62114132 199.909091 200.000000
3877487.000000 11990 12 1.74602724 200.083333 199.833333
4816417.000000 14268 13 1.83973242 200.076923 199.615385
5006876.000000 14412 14 1.97044489 200.285714 199.500000
5368276.000000 15281 15 2.11869981 200.200000 199.733333
6069143.000000 17131 16 2.28702181 200.437500 199.625000
6124427.000000 17312 17 2.38362348 200.235294 199.705882
6514708.000000 18877 18 2.40241648 200.388889 199.722222
7468298.000000 21046 19 2.50760616 200.263158 199.894737
7535734.000000 21281 20 2.48495473 200.350000 199.950000
7713019.000000 21459 21 2.55461878 200.523810 199.904762
7795978.000000 21786 22 2.69373316 200.727273 199.818182
8487926.000000 24520 23 2.83376882 200.913043 199.695652
9851192.000000 28159 24 2.88283955 200.750000 199.708333
10585268.000000 30082 25 3.03315018 200.920000 199.560000
10739084.000000 30228 26 3.20456405 201.115385 199.423077
10954373.000000 30829 27 3.30315558 200.925926 199.481481
11011495.000000 31062 28 3.40224266 200.750000 199.571429
11339592.000000 32447 29 3.59183908 200.965517 199.448276
11527111.000000 33111 30 3.60585943 201.100000 199.433333
11881797.000000 34240 31 3.57380923 201.161290 199.483871
12563344.000000 36707 32 3.55907182 201.218750 199.562500
12828699.000000 37481 33 3.68702089 201.030303 199.636364
12903073.000000 37972 34 3.69430966 201.147059 199.647059
14164606.000000 41136 35 3.70416203 201.257143 199.685714
14282191.000000 41397 36 3.78298253 201.361111 199.555556
14410893.000000 41847 37 3.77682758 201.432432 199.621622
15925115.000000 46372 38 3.78819423 201.500000 199.710526
16954191.000000 48950 39 3.92198745 201.666667 199.615385
17019757.000000 49001 40 4.07760653 201.850000 199.525000
17046179.000000 49020 41 4.19824047 201.682927 199.609756
